 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
אלמוג, 0003556, 0000145, 0000105, 0000001, 0000104, 0000053, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000001, 0000009, 0000000, 0000013, 0000006, 0000000, 0000000, 0000000, 0000000, 0000016, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000
אלעד, 0001309, 0017047, 0015105, 0000228, 0014877, 0000030, 0005000, 0000001, 0000000, 0000000, 0000000, 0000754, 0000001, 0000000, 0000000, 0000000, 0000069, 0000013, 0000663, 0000002, 0000006, 0000000, 0000002, 0000000, 0000012, 0000000, 0000010, 0000025, 0002094, 0000002, 0006193
אלעזר, 0003618, 0001309, 0001108, 0000001, 0001107, 0000011, 0000003, 0000000, 0000000, 0000000, 0000000, 0000688, 0000000, 0000000, 0000000, 0000000, 0000016, 0000003, 0000291, 0000004, 0000002, 0000000, 0000001, 0000000, 0000013, 0000000, 0000000, 0000006, 0000060, 0000000, 0000009
אלפי מנשה, 0003750, 0005366, 0004249, 0000012, 0004237, 0000879, 0000039, 0000002, 0000001, 0000000, 0000000, 0000404, 0000000, 0000000, 0000000, 0000000, 0000393, 0000105, 0001286, 0000078, 0000001, 0000000, 0000001, 0000000, 0000866, 0000001, 0000001, 0000075, 0000053, 0000002, 0000050
אלקוש, 0000603, 0000265, 0000174, 0000003, 0000171, 0000023, 0000000, 0000002, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000063, 0000001, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000003, 0000003, 0000000, 0000029
אלקנה, 0003560, 0002455, 0002100, 0000006, 0002094, 0000022, 0000011, 0000000, 0000000, 0000000, 0000000, 0001459, 0000000, 0000000, 0000000, 0000000, 0000025, 0000006, 0000362, 0000003, 0000001, 0000000, 0000001, 0000000, 0000025, 0000000, 0000000, 0000011, 0000151, 0000000, 0000017
אמונים, 0000772, 0000651, 0000476, 0000004, 0000472, 0000111, 0000001, 0000001, 0000000, 0000000, 0000000, 0000024, 0000000, 0000000, 0000000, 0000000, 0000050, 0000006, 0000152, 0000006, 0000000, 0000000, 0000000, 0000000, 0000071, 0000000, 0000001, 0000006, 0000013, 0000000, 0000030
אמירים, 0001064, 0000509, 0000384, 0000002, 0000382, 0000164, 0000003, 0000003, 0000000, 0000000, 0000000, 0000031, 0000000, 0000000, 0000000, 0000000, 0000024, 0000002, 0000020, 0000062, 0000001, 0000000, 0000000, 0000000, 0000046, 0000000, 0000000, 0000014, 0000008, 0000002, 0000002
אמנון, 0001253, 0000242, 0000168, 0000001, 0000167, 0000036, 0000000, 0000000, 0000000, 0000000, 0000000, 0000012, 0000000, 0000000, 0000000, 0000000, 0000038, 0000004, 0000050, 0000006, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000001, 0000003, 0000002, 0000000, 0000006
אמציה, 0000023, 0000319, 0000254, 0000000, 0000254, 0000020, 0000000, 0000000, 0000000, 0000000, 0000000, 0000144, 0000000, 0000000, 0000000, 0000000, 0000018, 0000000, 0000036, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000002, 0000027, 0000000, 0000000
אניעם, 0004012, 0000393, 0000282, 0000003, 0000279, 0000081, 0000002, 0000000, 0000000, 0000000, 0000001, 0000019, 0000000, 0000000, 0000000, 0000000, 0000034, 0000003, 0000042, 0000017, 0000000, 0000000, 0000000, 0000000, 0000061, 0000000, 0000000, 0000017, 0000000, 0000000, 0000002
אסד (שבט), 0000960, 0000420, 0000067, 0000001, 0000066, 0000001, 0000000, 0000053, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000002, 0000000, 0000000, 0000000, 0000003, 0000002, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000
אספר, 0003754, 0000248, 0000187, 0000002, 0000185, 0000000, 0000069, 0000000, 0000000, 0000000, 0000000, 0000052, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000006, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000040, 0000000, 0000015
אעבלין, 0000529, 0008040, 0004910, 0000039, 0004871, 0000436, 0000005, 0003829, 0000002, 0000001, 0000001, 0000003, 0000000, 0000000, 0000000, 0000012, 0000059, 0000076, 0000078, 0000231, 0000000, 0000000, 0000003, 0000030, 0000024, 0000003, 0000004, 0000007, 0000001, 0000003, 0000063
אעצם (שבט), 0000963, 0004129, 0001331, 0000025, 0001306, 0000080, 0000004, 0001055, 0000000, 0000001, 0000002, 0000001, 0000003, 0000000, 0000000, 0000002, 0000009, 0000003, 0000010, 0000009, 0000001, 0000000, 0000006, 0000017, 0000001, 0000001, 0000003, 0000004, 0000003, 0000006, 0000085
אפיק, 0004301, 0000312, 0000217, 0000001, 0000216, 0000084, 0000000, 0000001, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000016, 0000004, 0000019, 0000021, 0000000, 0000000, 0000001, 0000000, 0000036, 0000000, 0000000, 0000017, 0000002, 0000000, 0000000
אפיקים, 0000176, 0001048, 0000729, 0000007, 0000722, 0000508, 0000002, 0000001, 0000000, 0000000, 0000002, 0000021, 0000000, 0000000, 0000000, 0000000, 0000017, 0000008, 0000018, 0000071, 0000001, 0000000, 0000000, 0000000, 0000057, 0000000, 0000000, 0000011, 0000003, 0000001, 0000001
אפק, 0000313, 0000413, 0000305, 0000000, 0000305, 0000208, 0000000, 0000001, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000009, 0000002, 0000013, 0000023, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000004, 0000000, 0000001, 0000002
אפרת, 0003650, 0005868, 0004583, 0000014, 0004569, 0000081, 0000026, 0000001, 0000000, 0000000, 0000000, 0002501, 0000000, 0000000, 0000000, 0000000, 0000107, 0000030, 0001394, 0000024, 0000011, 0000001, 0000003, 0000000, 0000071, 0000000, 0000001, 0000041, 0000244, 0000001, 0000032
ארבל, 0000701, 0000417, 0000317, 0000003, 0000314, 0000097, 0000000, 0000000, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000000, 0000000, 0000025, 0000006, 0000101, 0000016, 0000000, 0000000, 0000000, 0000000, 0000033, 0000000, 0000000, 0000003, 0000007, 0000000, 0000003
ארגמן, 0003598, 0000130, 0000088, 0000001, 0000087, 0000013, 0000000, 0000001, 0000000, 0000000, 0000000, 0000012, 0000000, 0000000, 0000000, 0000000, 0000007, 0000003, 0000034, 0000001, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000001, 0000002, 0000002, 0000000, 0000002
ארז, 0000714, 0000399, 0000305, 0000003, 0000302, 0000193, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000021, 0000001, 0000014, 0000037, 0000000, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000006, 0000000, 0000002, 0000000
אריאל, 0003570, 0014190, 0009876, 0000159, 0009717, 0000432, 0000031, 0000006, 0000002, 0000000, 0000002, 0001303, 0000003, 0000000, 0000000, 0000000, 0000605, 0001550, 0004486, 0000058, 0000006, 0000000, 0000001, 0000000, 0000556, 0000003, 0000006, 0000223, 0000350, 0000009, 0000085
אשבול, 0000071, 0000309, 0000227, 0000002, 0000225, 0000032, 0000000, 0000000, 0000000, 0000000, 0000000, 0000014, 0000000, 0000000, 0000000, 0000000, 0000018, 0000004, 0000100, 0000001, 0000000, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000002, 0000019, 0000000, 0000020
אשדוד, 0000070, 0170193, 0115145, 0001942, 0113203, 0009694, 0011132, 0000033, 0000007, 0000005, 0000032, 0005468, 0000043, 0000006, 0000000, 0000010, 0008616, 0015127, 0035653, 0000854, 0000027, 0000026, 0000014, 0000010, 0008804, 0000063, 0000074, 0001314, 0004171, 0000097, 0011923
אשדות יעקב  (איחו, 0000199, 0000607, 0000449, 0000001, 0000448, 0000261, 0000000, 0000001, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000023, 0000006, 0000044, 0000029, 0000000, 0000000, 0000000, 0000000, 0000058, 0000000, 0000000, 0000005, 0000000, 0000000, 0000001
אשדות יעקב  (מאוח, 0000188, 0000424, 0000296, 0000000, 0000296, 0000175, 0000001, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000000, 0000019, 0000009, 0000030, 0000014, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000001, 0000003, 0000000, 0000001
אשחר, 0001188, 0000488, 0000382, 0000002, 0000380, 0000099, 0000001, 0000000, 0000000, 0000000, 0000000, 0000096, 0000000, 0000000, 0000000, 0000000, 0000029, 0000006, 0000051, 0000029, 0000001, 0000000, 0000000, 0000000, 0000060, 0000000, 0000000, 0000005, 0000002, 0000000, 0000001
אשכולות, 0003722, 0000212, 0000166, 0000001, 0000165, 0000024, 0000001, 0000000, 0000000, 0000000, 0000000, 0000025, 0000000, 0000000, 0000000, 0000000, 0000014, 0000003, 0000054, 0000001, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000002, 0000005, 0000002, 0000000
אשל הנשיא, 0002021, 0000093, 0000059, 0000000, 0000059, 0000025, 0000000, 0000002, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000009, 0000001, 0000007, 0000003, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001
אשלים, 0001152, 0000303, 0000227, 0000000, 0000227, 0000076, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000028, 0000015, 0000042, 0000014, 0000001, 0000001, 0000000, 0000000, 0000033, 0000000, 0000000, 0000005, 0000001, 0000000, 0000001
אשקלון, 0007100, 0101617, 0064771, 0000935, 0063836, 0006208, 0000639, 0000053, 0000015, 0000003, 0000013, 0003625, 0000010, 0000004, 0000000, 0000002, 0005341, 0009649, 0025460, 0000565, 0000014, 0000014, 0000022, 0000012, 0004213, 0000021, 0000046, 0000764, 0002876, 0000069, 0004198
אשרת, 0001256, 0000361, 0000287, 0000000, 0000287, 0000041, 0000004, 0000000, 0000000, 0000000, 0000000, 0000028, 0000000, 0000000, 0000000, 0000000, 0000045, 0000012, 0000112, 0000008, 0000001, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000005, 0000008, 0000000, 0000000
אשתאול, 0000740, 0000680, 0000550, 0000002, 0000548, 0000068, 0000021, 0000001, 0000000, 0000000, 0000000, 0000040, 0000000, 0000000, 0000000, 0000000, 0000052, 0000004, 0000205, 0000020, 0000000, 0000000, 0000000, 0000000, 0000029, 0000000, 0000001, 0000002, 0000029, 0000000, 0000076
באקה אל-גרביה, 0006000, 0016410, 0010094, 0000072, 0010022, 0000259, 0000004, 0009428, 0000001, 0000000, 0000004, 0000001, 0000000, 0000000, 0000000, 0000002, 0000000, 0000002, 0000010, 0000239, 0000011, 0000001, 0000002, 0000032, 0000005, 0000001, 0000004, 0000002, 0000005, 0000000, 0000009
באר אורה, 0000021, 0000271, 0000228, 0000002, 0000226, 0000089, 0000000, 0000002, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000026, 0000006, 0000046, 0000008, 0000000, 0000000, 0000000, 0000000, 0000035, 0000000, 0000001, 0000005, 0000000, 0000000, 0000000
באר גנים, 0001376, 0000119, 0000101, 0000000, 0000101, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000035, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000039, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000014, 0000000, 0000003
באר טוביה, 0000155, 0000661, 0000541, 0000000, 0000541, 0000326, 0000001, 0000002, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000022, 0000005, 0000034, 0000041, 0000000, 0000000, 0000000, 0000000, 0000092, 0000000, 0000000, 0000007, 0000001, 0000000, 0000000
באר יעקב, 0002530, 0010833, 0008518, 0000078, 0008440, 0001754, 0000097, 0000012, 0000000, 0000000, 0000002, 0000459, 0000000, 0000001, 0000000, 0000001, 0001044, 0000170, 0002676, 0000141, 0000003, 0000000, 0000000, 0000000, 0001238, 0000001, 0000002, 0000090, 0000142, 0000007, 0000600
באר שבע, 0009000, 0156696, 0098505, 0001352, 0097153, 0011887, 0000676, 0000531, 0000012, 0000005, 0000018, 0006782, 0000015, 0000009, 0000000, 0000035, 0008548, 0011721, 0036614, 0001357, 0000045, 0000020, 0000023, 0000078, 0007311, 0000030, 0000087, 0001179, 0003898, 0000094, 0006178
בארות יצחק, 0000450, 0000408, 0000280, 0000002, 0000278, 0000029, 0000000, 0000000, 0000000, 0000000, 0000000, 0000138, 0000000, 0000001, 0000000, 0000000, 0000023, 0000001, 0000036, 0000008, 0000002, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000006, 0000009, 0000000, 0000002
בארותיים, 0000697, 0000654, 0000538, 0000002, 0000536, 0000217, 0000000, 0000000, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000000, 0000000, 0000054, 0000006, 0000062, 0000040, 0000000, 0000000, 0000000, 0000000, 0000113, 0000000, 0000002, 0000012, 0000005, 0000002, 0000002
בארי, 0000399, 0000804, 0000669, 0000002, 0000667, 0000443, 0000001, 0000000, 0000000, 0000000, 0000000, 0000014, 0000000, 0000000, 0000000, 0000000, 0000013, 0000005, 0000018, 0000109, 0000000, 0000000, 0000000, 0000000, 0000050, 0000000, 0000000, 0000013, 0000000, 0000001, 0000000
בוסתן הגליל, 0000559, 0000518, 0000403, 0000001, 0000402, 0000150, 0000001, 0000000, 0000000, 0000000, 0000000, 0000026, 0000000, 0000000, 0000000, 0000000, 0000034, 0000010, 0000080, 0000024, 0000000, 0000000, 0000000, 0000000, 0000058, 0000000, 0000001, 0000005, 0000001, 0000001, 0000011
בועיינה-נוג'ידאת, 0000482, 0005550, 0003650, 0000043, 0003607, 0000112, 0000002, 0003038, 0000000, 0000001, 0000001, 0000005, 0000000, 0000002, 0000000, 0000223, 0000049, 0000003, 0000010, 0000082, 0000000, 0000000, 0000001, 0000020, 0000001, 0000000, 0000002, 0000002, 0000005, 0000001, 0000047
בוקעאתא, 0004001, 0000363, 0000017, 0000000, 0000017, 0000004, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000005, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001
בורגתה, 0000698, 0000777, 0000628, 0000004, 0000624, 0000278, 0000000, 0000000, 0000001, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000000, 0000054, 0000009, 0000093, 0000042, 0000000, 0000000, 0000000, 0000000, 0000103, 0000000, 0000001, 0000016, 0000002, 0000000, 0000006
בחן, 0002043, 0000520, 0000418, 0000000, 0000418, 0000242, 0000000, 0000002, 0000000, 0000000, 0000001, 0000012, 0000000, 0000000, 0000000, 0000000, 0000022, 0000005, 0000036, 0000028, 0000000, 0000000, 0000000, 0000000, 0000062, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000
בטחה, 0000762, 0000536, 0000438, 0000001, 0000437, 0000021, 0000013, 0000000, 0000000, 0000000, 0000000, 0000048, 0000000, 0000000, 0000000, 0000000, 0000031, 0000001, 0000237, 0000001, 0000000, 0000000, 0000001, 0000000, 0000009, 0000000, 0000001, 0000001, 0000025, 0000000, 0000048
ביצרון, 0000234, 0000811, 0000670, 0000004, 0000666, 0000383, 0000003, 0000000, 0000000, 0000000, 0000001, 0000020, 0000000, 0000000, 0000000, 0000000, 0000030, 0000004, 0000071, 0000042, 0000000, 0000000, 0000000, 0000000, 0000102, 0000000, 0000000, 0000007, 0000003, 0000000, 0000000
ביר אל-מכסור, 0000998, 0005562, 0002717, 0000045, 0002672, 0000226, 0000001, 0001733, 0000000, 0000001, 0000001, 0000027, 0000000, 0000000, 0000000, 0000000, 0000018, 0000001, 0000006, 0000035, 0000000, 0000000, 0000002, 0000047, 0000397, 0000002, 0000002, 0000002, 0000003, 0000001, 0000167
ביר הדאג', 0001348, 0000583, 0000406, 0000007, 0000399, 0000001, 0000000, 0000389, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000004, 0000000, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000
ביריה, 0000368, 0000583, 0000434, 0000004, 0000430, 0000038, 0000007, 0000000, 0000000, 0000000, 0000000, 0000032, 0000000, 0000000, 0000000, 0000000, 0000059, 0000004, 0000163, 0000001, 0000000, 0000000, 0000000, 0000000, 0000015, 0000000, 0000001, 0000008, 0000050, 0000001, 0000051
בית אורן, 0000317, 0000280, 0000193, 0000000, 0000193, 0000089, 0000001, 0000001, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000011, 0000005, 0000016, 0000027, 0000000, 0000000, 0000000, 0000000, 0000028, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000
בית אל, 0003574, 0003210, 0002730, 0000004, 0002726, 0000005, 0000019, 0000000, 0000000, 0000000, 0000000, 0001604, 0000000, 0000000, 0000000, 0000000, 0000010, 0000002, 0000308, 0000000, 0000003, 0000000, 0000003, 0000000, 0000002, 0000001, 0000001, 0000024, 0000724, 0000000, 0000020
בית אלעזרי, 0000562, 0000976, 0000800, 0000002, 0000798, 0000277, 0000002, 0000002, 0000000, 0000000, 0000000, 0000039, 0000000, 0000000, 0000000, 0000000, 0000092, 0000012, 0000176, 0000041, 0000000, 0000000, 0000001, 0000000, 0000129, 0000000, 0000001, 0000012, 0000004, 0000001, 0000009
בית אלפא, 0000095, 0000672, 0000495, 0000006, 0000489, 0000280, 0000000, 0000003, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000001, 0000020, 0000005, 0000043, 0000076, 0000000, 0000003, 0000000, 0000000, 0000028, 0000001, 0000000, 0000014, 0000002, 0000001, 0000003
בית אריה, 0003652, 0003082, 0002429, 0000025, 0002404, 0000261, 0000015, 0000002, 0000000, 0000000, 0000001, 0000520, 0000000, 0000000, 0000000, 0000000, 0000205, 0000048, 0000932, 0000020, 0000002, 0000000, 0000001, 0000000, 0000254, 0000000, 0000001, 0000042, 0000052, 0000001, 0000047
בית ג'ן, 0000480, 0007819, 0004182, 0000044, 0004138, 0001902, 0000000, 0000242, 0000000, 0000000, 0000001, 0000073, 0000000, 0000001, 0000000, 0000000, 0000406, 0000727, 0000207, 0000242, 0000000, 0000000, 0000000, 0000008, 0000125, 0000000, 0000002, 0000015, 0000085, 0000003, 0000099
בית גוברין, 0000619, 0000276, 0000220, 0000000, 0000220, 0000131, 0000000, 0000001, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000003, 0000002, 0000006, 0000029, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000007, 0000000, 0000000, 0000001
בית גמליאל, 0000571, 0000680, 0000563, 0000002, 0000561, 0000015, 0000010, 0000000, 0000000, 0000000, 0000000, 0000278, 0000000, 0000000, 0000000, 0000000, 0000032, 0000001, 0000130, 0000004, 0000001, 0000000, 0000000, 0000000, 0000022, 0000000, 0000000, 0000006, 0000053, 0000001, 0000008
בית דגן, 0000466, 0004833, 0003774, 0000017, 0003757, 0000591, 0000052, 0000003, 0000000, 0000000, 0000000, 0000310, 0000002, 0000000, 0000000, 0000000, 0000453, 0000069, 0001441, 0000050, 0000000, 0000000, 0000001, 0000000, 0000417, 0000000, 0000005, 0000044, 0000113, 0000002, 0000204
בית הגדי, 0000723, 0000468, 0000397, 0000005, 0000392, 0000007, 0000003, 0000000, 0000000, 0000000, 0000000, 0000032, 0000000, 0000000, 0000000, 0000000, 0000015, 0000001, 0000223, 0000000, 0000000, 0000000, 0000001, 0000000, 0000004, 0000000, 0000001, 0000004, 0000097, 0000000, 0000004
בית הלוי, 0000373, 0000513, 0000420, 0000001, 0000419, 0000221, 0000000, 0000001, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000023, 0000002, 0000040, 0000041, 0000000, 0000000, 0000000, 0000000, 0000066, 0000000, 0000000, 0000011, 0000003, 0000002, 0000001
בית הלל, 0000322, 0000526, 0000391, 0000000, 0000391, 0000216, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000027, 0000005, 0000024, 0000033, 0000000, 0000000, 0000000, 0000000, 0000069, 0000000, 0000000, 0000006, 0000003, 0000000, 0000002
בית העמק, 0000572, 0000474, 0000339, 0000002, 0000337, 0000196, 0000001, 0000001, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000006, 0000018, 0000016, 0000050, 0000000, 0000000, 0000000, 0000001, 0000036, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000
בית הערבה, 0003645, 0000062, 0000053, 0000002, 0000051, 0000013, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000006, 0000004, 0000012, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000004, 0000000, 0000000, 0000001
בית השיטה, 0000242, 0001006, 0000750, 0000006, 0000744, 0000483, 0000001, 0000001, 0000000, 0000000, 0000000, 0000030, 0000000, 0000000, 0000000, 0000000, 0000028, 0000006, 0000044, 0000046, 0000000, 0000001, 0000000, 0000000, 0000081, 0000000, 0000001, 0000013, 0000006, 0000002, 0000001
